日期	星期	假日	班休	year	month	day	ymd
2018/10/10	星期三		班	2018	10	10	20181010
2018/10/11	星期四		班	2018	10	11	20181011
2018/10/12	星期五		班	2018	10	12	20181012
2018/10/13	星期六		休	2018	10	13	20181013
2018/10/14	星期日		休	2018	10	14	20181014
2018/10/15	星期一		班	2018	10	15	20181015
2018/10/16	星期二		班	2018	10	16	20181016
2018/10/17	星期三		班	2018	10	17	20181017
2018/10/18	星期四		班	2018	10	18	20181018
2018/10/19	星期五		班	2018	10	19	20181019
2018/10/20	星期六		休	2018	10	20	20181020
2018/10/21	星期日		休	2018	10	21	20181021
2018/10/22	星期一		班	2018	10	22	20181022
2018/10/23	星期二		班	2018	10	23	20181023
2018/10/24	星期三		班	2018	10	24	20181024
2018/10/25	星期四		班	2018	10	25	20181025
2018/10/26	星期五		班	2018	10	26	20181026
2018/10/27	星期六		休	2018	10	27	20181027
2018/10/28	星期日		休	2018	10	28	20181028
2018/10/29	星期一		班	2018	10	29	20181029
2018/10/30	星期二		班	2018	10	30	20181030
2018/10/31	星期三		班	2018	10	31	20181031
2018/11/1	星期四		班	2018	11	1	20181101
2018/11/2	星期五		班	2018	11	2	20181102
2018/11/3	星期六		休	2018	11	3	20181103
2018/11/4	星期日		休	2018	11	4	20181104
2018/11/5	星期一		班	2018	11	5	20181105
2018/11/6	星期二		班	2018	11	6	20181106
2018/11/7	星期三		班	2018	11	7	20181107
2018/11/8	星期四		班	2018	11	8	20181108
2018/11/9	星期五		班	2018	11	9	20181109
2018/11/10	星期六		休	2018	11	10	20181110
2018/11/11	星期日		休	2018	11	11	20181111
2018/11/12	星期一		班	2018	11	12	20181112
2018/11/13	星期二		班	2018	11	13	20181113
2018/11/14	星期三		班	2018	11	14	20181114
2018/11/15	星期四		班	2018	11	15	20181115
2018/11/16	星期五		班	2018	11	16	20181116
2018/11/17	星期六		休	2018	11	17	20181117
2018/11/18	星期日		休	2018	11	18	20181118
2018/11/19	星期一		班	2018	11	19	20181119
2018/11/20	星期二		班	2018	11	20	20181120
2018/11/21	星期三		班	2018	11	21	20181121
2018/11/22	星期四		班	2018	11	22	20181122
2018/11/23	星期五		班	2018	11	23	20181123
2018/11/24	星期六		休	2018	11	24	20181124
2018/11/25	星期日		休	2018	11	25	20181125
2018/11/26	星期一		班	2018	11	26	20181126
2018/11/27	星期二		班	2018	11	27	20181127
2018/11/28	星期三		班	2018	11	28	20181128
2018/11/29	星期四		班	2018	11	29	20181129
2018/11/30	星期五		班	2018	11	30	20181130
2018/12/1	星期六		休	2018	12	1	20181201
2018/12/2	星期日		休	2018	12	2	20181202
2018/12/3	星期一		班	2018	12	3	20181203
2018/12/4	星期二		班	2018	12	4	20181204
2018/12/5	星期三		班	2018	12	5	20181205
2018/12/6	星期四		班	2018	12	6	20181206
2018/12/7	星期五		班	2018	12	7	20181207
2018/12/8	星期六		休	2018	12	8	20181208
2018/12/9	星期日		休	2018	12	9	20181209
2018/12/10	星期一		班	2018	12	10	20181210
2018/12/11	星期二		班	2018	12	11	20181211
2018/12/12	星期三		班	2018	12	12	20181212
2018/12/13	星期四		班	2018	12	13	20181213
2018/12/14	星期五		班	2018	12	14	20181214
2018/12/31	星期六		休	2018	12	31	20181231
2018/12/16	星期日		休	2018	12	16	20181216
2018/12/17	星期一		班	2018	12	17	20181217
2018/12/18	星期二		班	2018	12	18	20181218
2018/12/19	星期三		班	2018	12	19	20181219
2018/12/20	星期四		班	2018	12	20	20181220
2018/12/21	星期五		班	2018	12	21	20181221
2018/12/22	星期六		休	2018	12	22	20181222
2018/12/23	星期日		休	2018	12	23	20181223
2018/12/24	星期一	平安夜	班	2018	12	24	20181224
2018/12/25	星期二	圣诞节	班	2018	12	25	20181225
2018/12/26	星期三		班	2018	12	26	20181226
2018/12/27	星期四		班	2018	12	27	20181227
2018/12/28	星期五		班	2018	12	28	20181228
2018/12/29	星期六		班	2018	12	29	20181229
2018/12/30	星期日		休	2018	12	30	20181230
2018/12/31	星期一		休	2018	12	31	20181231
2019/1/1	星期二	元旦	休	2019	1	1	20190101
2019/1/2	星期三		班	2019	1	2	20190102
2019/1/3	星期四		班	2019	1	3	20190103
2019/1/4	星期五		班	2019	1	4	20190104
2019/1/5	星期六		休	2019	1	5	20190105
2019/1/6	星期日		休	2019	1	6	20190106
2019/1/7	星期一		班	2019	1	7	20190107
2019/1/8	星期二		班	2019	1	8	20190108
2019/1/9	星期三		班	2019	1	9	20190109
2019/1/10	星期四		班	2019	1	10	20190110
2019/1/11	星期五		班	2019	1	11	20190111
2019/1/12	星期六		休	2019	1	12	20190112
2019/1/13	星期日		休	2019	1	13	20190113
2019/1/14	星期一		班	2019	1	14	20190114
2019/1/15	星期二		班	2019	1	15	20190115
2019/1/16	星期三		班	2019	1	16	20190116
2019/1/17	星期四		班	2019	1	17	20190117
2019/1/18	星期五		班	2019	1	18	20190118
2019/1/19	星期六		休	2019	1	19	20190119
2019/1/20	星期日		休	2019	1	20	20190120
2019/1/21	星期一		班	2019	1	21	20190121
2019/1/22	星期二		班	2019	1	22	20190122
2019/1/23	星期三		班	2019	1	23	20190123
2019/1/24	星期四		班	2019	1	24	20190124
2019/1/25	星期五		班	2019	1	25	20190125
2019/1/26	星期六		休	2019	1	26	20190126
2019/1/27	星期日		休	2019	1	27	20190127
2019/1/28	星期一		班	2019	1	28	20190128
2019/1/29	星期二		班	2019	1	29	20190129
2019/1/30	星期三		班	2019	1	30	20190130
2019/1/31	星期四		班	2019	1	31	20190131
2019/2/1	星期五		班	2019	2	1	20190201
2019/2/2	星期六		班	2019	2	2	20190202
2019/2/3	星期日		班	2019	2	3	20190203
2019/2/4	星期一	除夕	休	2019	2	4	20190204
2019/2/5	星期二	春节	休	2019	2	5	20190205
2019/2/6	星期三	春节	休	2019	2	6	20190206
2019/2/7	星期四	春节	休	2019	2	7	20190207
2019/2/8	星期五	春节	休	2019	2	8	20190208
2019/2/9	星期六	春节	休	2019	2	9	20190209
2019/2/10	星期日	春节	休	2019	2	10	20190210
2019/2/11	星期一		班	2019	2	11	20190211
2019/2/12	星期二		班	2019	2	12	20190212
2019/2/13	星期三		班	2019	2	13	20190213
2019/2/14	星期四		班	2019	2	14	20190214
2019/2/15	星期五		班	2019	2	15	20190215
2019/2/16	星期六		休	2019	2	16	20190216
2019/2/17	星期日		休	2019	2	17	20190217
2019/2/18	星期一		班	2019	2	18	20190218
2019/2/19	星期二		班	2019	2	19	20190219
2019/2/20	星期三		班	2019	2	20	20190220
2019/2/21	星期四		班	2019	2	21	20190221
2019/2/22	星期五		班	2019	2	22	20190222
2019/2/23	星期六		休	2019	2	23	20190223
2019/2/24	星期日		休	2019	2	24	20190224
2019/2/25	星期一		班	2019	2	25	20190225
2019/2/26	星期二		班	2019	2	26	20190226
2019/2/27	星期三		班	2019	2	27	20190227
2019/2/28	星期四		班	2019	2	28	20190228
2019/3/1	星期五		班	2019	3	1	20190301
2019/3/2	星期六		休	2019	3	2	20190302
2019/3/3	星期日		休	2019	3	3	20190303
2019/3/4	星期一		班	2019	3	4	20190304
2019/3/5	星期二		班	2019	3	5	20190305
2019/3/6	星期三		班	2019	3	6	20190306
2019/3/7	星期四		班	2019	3	7	20190307
2019/3/8	星期五	妇女节	班	2019	3	8	20190308
2019/3/9	星期六		休	2019	3	9	20190309
2019/3/10	星期日		休	2019	3	10	20190310
2019/3/11	星期一		班	2019	3	11	20190311
2019/3/12	星期二		班	2019	3	12	20190312
2019/3/13	星期三		班	2019	3	13	20190313
2019/3/14	星期四		班	2019	3	14	20190314
2019/3/15	星期五		班	2019	3	15	20190315
2019/3/16	星期六		休	2019	3	16	20190316
2019/3/17	星期日		休	2019	3	17	20190317
2019/3/18	星期一		班	2019	3	18	20190318
2019/3/19	星期二		班	2019	3	19	20190319
2019/3/20	星期三		班	2019	3	20	20190320
2019/3/21	星期四		班	2019	3	21	20190321
2019/3/22	星期五		班	2019	3	22	20190322
2019/3/23	星期六		休	2019	3	23	20190323
2019/3/24	星期日		休	2019	3	24	20190324
2019/3/25	星期一		班	2019	3	25	20190325
2019/3/26	星期二		班	2019	3	26	20190326
2019/3/27	星期三		班	2019	3	27	20190327
2019/3/28	星期四		班	2019	3	28	20190328
2019/3/29	星期五		班	2019	3	29	20190329
2019/3/30	星期六		休	2019	3	30	20190330
2019/3/31	星期日		休	2019	3	31	20190331
2019/4/1	星期一		班	2019	4	1	20190401
2019/4/2	星期二		班	2019	4	2	20190402
2019/4/3	星期三		班	2019	4	3	20190403
2019/4/4	星期四		班	2019	4	4	20190404
2019/4/5	星期五	清明节	休	2019	4	5	20190405
2019/4/6	星期六	清明节	休	2019	4	6	20190406
2019/4/7	星期日	清明节	休	2019	4	7	20190407
2019/4/8	星期一		班	2019	4	8	20190408
2019/4/9	星期二		班	2019	4	9	20190409
2019/4/10	星期三		班	2019	4	10	20190410
2019/4/11	星期四		班	2019	4	11	20190411
2019/4/12	星期五		班	2019	4	12	20190412
2019/4/13	星期六		休	2019	4	13	20190413
2019/4/14	星期日		休	2019	4	14	20190414
2019/4/15	星期一		班	2019	4	15	20190415
2019/4/16	星期二		班	2019	4	16	20190416
2019/4/17	星期三		班	2019	4	17	20190417
2019/4/18	星期四		班	2019	4	18	20190418
2019/4/19	星期五		班	2019	4	19	20190419
2019/4/20	星期六		休	2019	4	20	20190420
2019/4/21	星期日		休	2019	4	21	20190421
2019/4/22	星期一		班	2019	4	22	20190422
2019/4/23	星期二		班	2019	4	23	20190423
2019/4/24	星期三		班	2019	4	24	20190424
2019/4/25	星期四		班	2019	4	25	20190425
2019/4/26	星期五		班	2019	4	26	20190426
2019/4/27	星期六		班	2019	4	27	20190427
2019/4/28	星期日		班	2019	4	28	20190428
2019/4/29	星期一	五一	休	2019	4	29	20190429
2019/4/30	星期二	五一	休	2019	4	30	20190430
2019/5/1	星期三	五一	休	2019	5	1	20190501
2019/5/2	星期四		班	2019	5	2	20190502
2019/5/3	星期五		班	2019	5	3	20190503
2019/5/4	星期六		休	2019	5	4	20190504
2019/5/5	星期日		休	2019	5	5	20190505
2019/5/6	星期一		班	2019	5	6	20190506
2019/5/7	星期二		班	2019	5	7	20190507
2019/5/8	星期三		班	2019	5	8	20190508
2019/5/9	星期四		班	2019	5	9	20190509
2019/5/10	星期五		班	2019	5	10	20190510
2019/5/11	星期六		休	2019	5	11	20190511
2019/5/12	星期日		休	2019	5	12	20190512
2019/5/13	星期一		班	2019	5	13	20190513
2019/5/14	星期二		班	2019	5	14	20190514
2019/5/15	星期三		班	2019	5	15	20190515
2019/5/16	星期四		班	2019	5	16	20190516
2019/5/17	星期五		班	2019	5	17	20190517
2019/5/18	星期六		休	2019	5	18	20190518
2019/5/19	星期日		休	2019	5	19	20190519
2019/5/20	星期一		班	2019	5	20	20190520
2019/5/21	星期二		班	2019	5	21	20190521
2019/5/22	星期三		班	2019	5	22	20190522
2019/5/23	星期四		班	2019	5	23	20190523
2019/5/24	星期五		班	2019	5	24	20190524
2019/5/25	星期六		休	2019	5	25	20190525
2019/5/26	星期日		休	2019	5	26	20190526
2019/5/27	星期一		班	2019	5	27	20190527
2019/5/28	星期二		班	2019	5	28	20190528
2019/5/29	星期三		班	2019	5	29	20190529
2019/5/30	星期四		班	2019	5	30	20190530
2019/5/31	星期五		班	2019	5	31	20190531
2019/6/1	星期六		休	2019	6	1	20190601
2019/6/2	星期日		休	2019	6	2	20190602
2019/6/3	星期一		班	2019	6	3	20190603
2019/6/4	星期二		班	2019	6	4	20190604
2019/6/5	星期三		班	2019	6	5	20190605
2019/6/6	星期四		班	2019	6	6	20190606
2019/6/7	星期五	端午节	休	2019	6	7	20190607
2019/6/8	星期六	端午节	休	2019	6	8	20190608
2019/6/9	星期日	端午节	休	2019	6	9	20190609
2019/6/10	星期一		班	2019	6	10	20190610
2019/6/11	星期二		班	2019	6	11	20190611
2019/6/12	星期三		班	2019	6	12	20190612
2019/6/13	星期四		班	2019	6	13	20190613
2019/6/14	星期五		班	2019	6	14	20190614
2019/6/15	星期六		休	2019	6	15	20190615
2019/6/16	星期日		休	2019	6	16	20190616
2019/6/17	星期一		班	2019	6	17	20190617
2019/6/18	星期二		班	2019	6	18	20190618
2019/6/19	星期三		班	2019	6	19	20190619
2019/6/20	星期四		班	2019	6	20	20190620
2019/6/21	星期五		班	2019	6	21	20190621
2019/6/22	星期六		休	2019	6	22	20190622
2019/6/23	星期日		休	2019	6	23	20190623
2019/6/24	星期一		班	2019	6	24	20190624
2019/6/25	星期二		班	2019	6	25	20190625
2019/6/26	星期三		班	2019	6	26	20190626
2019/6/27	星期四		班	2019	6	27	20190627
2019/6/28	星期五		班	2019	6	28	20190628
2019/6/29	星期六		休	2019	6	29	20190629
2019/6/30	星期日		休	2019	6	30	20190630
2019/7/1	星期一		班	2019	7	1	20190701
2019/7/2	星期二		班	2019	7	2	20190702
2019/7/3	星期三		班	2019	7	3	20190703
2019/7/4	星期四		班	2019	7	4	20190704
2019/7/5	星期五		班	2019	7	5	20190705
2019/7/6	星期六		休	2019	7	6	20190706
2019/7/7	星期日		休	2019	7	7	20190707
2019/7/8	星期一		班	2019	7	8	20190708
2019/7/9	星期二		班	2019	7	9	20190709
2019/7/10	星期三		班	2019	7	10	20190710
2019/7/11	星期四		班	2019	7	11	20190711
2019/7/12	星期五		班	2019	7	12	20190712
2019/7/13	星期六		休	2019	7	13	20190713
2019/7/14	星期日		休	2019	7	14	20190714
2019/7/15	星期一		班	2019	7	15	20190715
2019/7/16	星期二		班	2019	7	16	20190716
2019/7/17	星期三		班	2019	7	17	20190717
2019/7/18	星期四		班	2019	7	18	20190718
2019/7/19	星期五		班	2019	7	19	20190719
2019/7/20	星期六		休	2019	7	20	20190720
2019/7/21	星期日		休	2019	7	21	20190721
2019/7/22	星期一		班	2019	7	22	20190722
2019/7/23	星期二		班	2019	7	23	20190723
2019/7/24	星期三		班	2019	7	24	20190724
2019/7/25	星期四		班	2019	7	25	20190725
2019/7/26	星期五		班	2019	7	26	20190726
2019/7/27	星期六		休	2019	7	27	20190727
2019/7/28	星期日		休	2019	7	28	20190728
2019/7/29	星期一		班	2019	7	29	20190729
2019/7/30	星期二		班	2019	7	30	20190730
2019/7/31	星期三		班	2019	7	31	20190731
2019/8/1	星期四		班	2019	8	1	20190801
2019/8/2	星期五		班	2019	8	2	20190802
2019/8/3	星期六		休	2019	8	3	20190803
2019/8/4	星期日		休	2019	8	4	20190804
2019/8/5	星期一		班	2019	8	5	20190805
2019/8/6	星期二		班	2019	8	6	20190806
2019/8/7	星期三		班	2019	8	7	20190807
2019/8/8	星期四		班	2019	8	8	20190808
2019/8/9	星期五		班	2019	8	9	20190809
2019/8/10	星期六		休	2019	8	10	20190810
2019/8/11	星期日		休	2019	8	11	20190811
2019/8/12	星期一		班	2019	8	12	20190812
2019/8/13	星期二		班	2019	8	13	20190813
2019/8/14	星期三		班	2019	8	14	20190814
2019/8/15	星期四		班	2019	8	15	20190815
2019/8/16	星期五		班	2019	8	16	20190816
2019/8/17	星期六		休	2019	8	17	20190817
2019/8/18	星期日		休	2019	8	18	20190818
2019/8/19	星期一		班	2019	8	19	20190819
2019/8/20	星期二		班	2019	8	20	20190820
2019/8/21	星期三		班	2019	8	21	20190821
2019/8/22	星期四		班	2019	8	22	20190822
2019/8/23	星期五		班	2019	8	23	20190823
2019/8/24	星期六		休	2019	8	24	20190824
2019/8/25	星期日		休	2019	8	25	20190825
2019/8/26	星期一		班	2019	8	26	20190826
2019/8/27	星期二		班	2019	8	27	20190827
2019/8/28	星期三		班	2019	8	28	20190828
2019/8/29	星期四		班	2019	8	29	20190829
2019/8/30	星期五		班	2019	8	30	20190830
2019/8/31	星期六		休	2019	8	31	20190831
2019/9/1	星期日		休	2019	9	1	20190901
2019/9/2	星期一		班	2019	9	2	20190902
2019/9/3	星期二		班	2019	9	3	20190903
2019/9/4	星期三		班	2019	9	4	20190904
2019/9/5	星期四		班	2019	9	5	20190905
2019/9/6	星期五		班	2019	9	6	20190906
2019/9/7	星期六		休	2019	9	7	20190907
2019/9/8	星期日		休	2019	9	8	20190908
2019/9/9	星期一		班	2019	9	9	20190909
2019/9/10	星期二		班	2019	9	10	20190910
2019/9/11	星期三		班	2019	9	11	20190911
2019/9/12	星期四		班	2019	9	12	20190912
2019/9/13	星期五	中秋节	休	2019	9	13	20190913
2019/9/14	星期六	中秋节	休	2019	9	14	20190914
2019/9/15	星期日	中秋节	休	2019	9	15	20190915
2019/9/16	星期一		班	2019	9	16	20190916
2019/9/17	星期二		班	2019	9	17	20190917
2019/9/18	星期三		班	2019	9	18	20190918
2019/9/19	星期四		班	2019	9	19	20190919
2019/9/20	星期五		班	2019	9	20	20190920
2019/9/21	星期六		休	2019	9	21	20190921
2019/9/22	星期日		休	2019	9	22	20190922
2019/9/23	星期一		班	2019	9	23	20190923
2019/9/24	星期二		班	2019	9	24	20190924
2019/9/25	星期三		班	2019	9	25	20190925
2019/9/26	星期四		班	2019	9	26	20190926
2019/9/27	星期五		班	2019	9	27	20190927
2019/9/28	星期六		休	2019	9	28	20190928
2019/9/29	星期日		班	2019	9	29	20190929
2019/9/30	星期一		班	2019	9	30	20190930
2019/10/1	星期二	国庆节	休	2019	10	1	20191001
2019/10/2	星期三	国庆节	休	2019	10	2	20191002
2019/10/3	星期四	国庆节	休	2019	10	3	20191003
2019/10/4	星期五	国庆节	休	2019	10	4	20191004
2019/10/5	星期六	国庆节	休	2019	10	5	20191005
2019/10/6	星期日	国庆节	休	2019	10	6	20191006
2019/10/7	星期一	国庆节	休	2019	10	7	20191007
2019/10/8	星期二		班	2019	10	8	20191008
2019/10/9	星期三		班	2019	10	9	20191009
2019/10/10	星期四		班	2019	10	10	20191010
2019/10/11	星期五		班	2019	10	11	20191011
2019/10/12	星期六		班	2019	10	12	20191012
2019/10/13	星期日		休	2019	10	13	20191013
2019/10/14	星期一		班	2019	10	14	20191014
2019/10/15	星期二		班	2019	10	15	20191015
2019/10/16	星期三		班	2019	10	16	20191016
2019/10/17	星期四		班	2019	10	17	20191017
2019/10/18	星期五		班	2019	10	18	20191018
2019/10/19	星期六		休	2019	10	19	20191019
2019/10/20	星期日		休	2019	10	20	20191020
2019/10/21	星期一		班	2019	10	21	20191021
2019/10/22	星期二		班	2019	10	22	20191022
2019/10/23	星期三		班	2019	10	23	20191023
2019/10/24	星期四		班	2019	10	24	20191024
2019/10/25	星期五		班	2019	10	25	20191025
2019/10/26	星期六		休	2019	10	26	20191026
2019/10/27	星期日		休	2019	10	27	20191027
2019/10/28	星期一		班	2019	10	28	20191028
2019/10/29	星期二		班	2019	10	29	20191029
2019/10/30	星期三		班	2019	10	30	20191030
2019/10/31	星期四		班	2019	10	31	20191031
2019/11/1	星期五		班	2019	11	1	20191101
2019/11/2	星期六		休	2019	11	2	20191102
2019/11/3	星期日		休	2019	11	3	20191103
2019/11/4	星期一		班	2019	11	4	20191104
2019/11/5	星期二		班	2019	11	5	20191105
2019/11/6	星期三		班	2019	11	6	20191106
2019/11/7	星期四		班	2019	11	7	20191107
2019/11/8	星期五		班	2019	11	8	20191108
2019/11/9	星期六		休	2019	11	9	20191109
2019/11/10	星期日		休	2019	11	10	20191110
2019/11/11	星期一		班	2019	11	11	20191111
2019/11/12	星期二		班	2019	11	12	20191112
2019/11/13	星期三		班	2019	11	13	20191113
2019/11/14	星期四		班	2019	11	14	20191114
2019/11/15	星期五		班	2019	11	15	20191115
2019/11/16	星期六		休	2019	11	16	20191116
2019/11/17	星期日		休	2019	11	17	20191117
2019/11/18	星期一		班	2019	11	18	20191118
2019/11/19	星期二		班	2019	11	19	20191119
2019/11/20	星期三		班	2019	11	20	20191120
2019/11/21	星期四		班	2019	11	21	20191121
2019/11/22	星期五		班	2019	11	22	20191122
2019/11/23	星期六		休	2019	11	23	20191123
2019/11/24	星期日		休	2019	11	24	20191124
2019/11/25	星期一		班	2019	11	25	20191125
2019/11/26	星期二		班	2019	11	26	20191126
2019/11/27	星期三		班	2019	11	27	20191127
2019/11/28	星期四		班	2019	11	28	20191128
2019/11/29	星期五		班	2019	11	29	20191129
2019/11/30	星期六		休	2019	11	30	20191130
2019/12/1	星期日		休	2019	12	1	20191201
2019/12/2	星期一		班	2019	12	2	20191202
2019/12/3	星期二		班	2019	12	3	20191203
2019/12/4	星期三		班	2019	12	4	20191204
2019/12/5	星期四		班	2019	12	5	20191205
2019/12/6	星期五		班	2019	12	6	20191206
2019/12/7	星期六		休	2019	12	7	20191207
2019/12/8	星期日		休	2019	12	8	20191208
2019/12/9	星期一		班	2019	12	9	20191209
2019/12/10	星期二		班	2019	12	10	20191210
2019/12/11	星期三		班	2019	12	11	20191211
2019/12/12	星期四		班	2019	12	12	20191212
2019/12/13	星期五		班	2019	12	13	20191213
2019/12/14	星期六		休	2019	12	14	20191214
2019/12/31	星期日		休	2019	12	31	20191231
2019/12/16	星期一		班	2019	12	16	20191216
2019/12/17	星期二		班	2019	12	17	20191217
2019/12/18	星期三		班	2019	12	18	20191218
2019/12/19	星期四		班	2019	12	19	20191219
2019/12/20	星期五		班	2019	12	20	20191220
2019/12/21	星期六		休	2019	12	21	20191221
2019/12/22	星期日		休	2019	12	22	20191222
2019/12/23	星期一		班	2019	12	23	20191223
2019/12/24	星期二	平安夜	班	2019	12	24	20191224
2019/12/25	星期三	圣诞节	班	2019	12	25	20191225
2019/12/26	星期四		班	2019	12	26	20191226
2019/12/27	星期五		班	2019	12	27	20191227
2019/12/28	星期六		班	2019	12	28	20191228
2019/12/29	星期日		班	2019	12	29	20191229
2019/12/30	星期一		休	2019	12	30	20191230
2019/12/31	星期二		休	2019	12	31	20191231
