path,tplt,backgroundFit,components,superCode,backgroundFixed,title
https://www.uniqlo.cn/c/1358090297.html,ProductListTemplate,MIDDLE,/data/pages/c/1358090297.html.json,/c/UTBABY,N,Peanuts
https://www.uniqlo.cn/c/1285644785.html,ProductListTemplate,MIDDLE,/data/pages/c/1285644785.html.json,/c/UTBABY,N,Thomas & Friends
https://www.uniqlo.cn/c/1373674417.html,ProductListTemplate,MIDDLE,/data/pages/c/1373674417.html.json,/c/UTKIDS,N,KAKAO FRIENDS
https://www.uniqlo.cn/c/1362461221.html,ProductListTemplate,MIDDLE,/data/pages/c/1362461221.html.json,/c/UTKIDS,N,MICKEY & THE SUN
https://www.uniqlo.cn/c/1370506521.html,ProductListTemplate,MIDDLE,/data/pages/c/1370506521.html.json,/c/UTKIDS,N,Minnie Mouse BFF
https://www.uniqlo.cn/c/1317866820.html,ProductListTemplate,MIDDLE,/data/pages/c/1317866820.html.json,/c/UTKIDS,N,SPRZ NY
https://www.uniqlo.cn/c/1369336925.html,ProductListTemplate,MIDDLE,/data/pages/c/1369336925.html.json,/c/UTKIDS,N,Sumikkogurashi
https://www.uniqlo.cn/c/1361478914.html,ProductListTemplate,MIDDLE,/data/pages/c/1361478914.html.json,/c/UTMEN,N,DISNEY FANTASIA
https://www.uniqlo.cn/c/1362457043.html,ProductListTemplate,MIDDLE,/data/pages/c/1362457043.html.json,/c/UTMEN,N,MICKEY & THE SUN
https://www.uniqlo.cn/c/NIUZAIKU.html,ProductListTemplate,MIDDLE,/data/pages/c/NIUZAIKU.html.json,,N,牛仔裤革新物语
https://www.uniqlo.cn/c/NVZHUANGACTIVE.html,ProductListTemplate,MIDDLE,/data/pages/c/NVZHUANGACTIVE.html.json,,N,女装ACTIVE
https://www.uniqlo.cn/c/TEBIEJINGXUAN.html,ProductListTemplate,MIDDLE,/data/pages/c/TEBIEJINGXUAN.html.json,,N,特别精选TOP30
https://www.uniqlo.cn/c/WUXIANDUAN.html,ProductListTemplate,MIDDLE,/data/pages/c/WUXIANDUAN.html.json,,N,无线端专用
https://www.uniqlo.cn/c/MENDIANZITISHANGPIN.html,ProductListTemplate,MIDDLE,/data/pages/c/MENDIANZITISHANGPIN.html.json,,N,支持门店自提商品
https://www.uniqlo.cn/c/MENDIANZITIXIUGAI.html,ProductListTemplate,MIDDLE,/data/pages/c/MENDIANZITIXIUGAI.html.json,,N,支持门店自提修改裤长商品
https://www.uniqlo.cn/c/97377385.html,ProductListTemplate,MIDDLE,/data/pages/c/97377385.html.json,/c/NVZHUANG,N,女装-配件
https://www.uniqlo.cn/c/97377382.html,ProductListTemplate,MIDDLE,/data/pages/c/97377382.html.json,/c/NVZHUANG,N,女装-起居服
https://www.uniqlo.cn/c/517935256.html,ProductListTemplate,MIDDLE,/data/pages/c/517935256.html.json,/c/NVZHUANG,N,女装-袜子/紧身裤
https://www.uniqlo.cn/c/1151262668.html,ProductListTemplate,MIDDLE,/data/pages/c/1151262668.html.json,/c/NVZHUANG,N,女装-外套
